sku,demand_class,model,mae,rmse,bias,wape,mase,n
84755,regular,lightgbm,52.2644,73.3282,27.54,1.6751,0.7358,30
22178,regular,naive_last,93.8,124.2366,-0.4667,1.1444,1.3936,30
22178,regular,seasonal_naive_7,50.5,71.2547,-20.2333,0.6161,0.7503,30
22178,regular,moving_avg_7,67.7095,90.6129,-10.5762,0.8261,1.006,30
22178,regular,croston_sba,67.403,92.4674,-13.8871,0.8223,1.0014,30
22178,regular,lightgbm,59.8941,82.3234,28.1015,0.7307,0.8899,30
21213,regular,naive_last,26.1,35.5945,0.7667,1.2942,0.3255,30
21213,regular,seasonal_naive_7,20.6,30.5199,3.6667,1.0215,0.2569,30
21213,regular,moving_avg_7,19.4429,27.0036,1.2905,0.9641,0.2425,30
21213,regular,croston_sba,20.7236,27.4876,6.6409,1.0276,0.2584,30
21213,regular,lightgbm,36.6167,56.1779,35.7884,1.8157,0.4566,30
22616,regular,naive_last,141.5667,256.7014,-0.0333,1.5354,1.3247,30
22616,regular,seasonal_naive_7,149.9667,286.081,6.3,1.6265,1.4033,30
22616,regular,moving_avg_7,129.3429,211.2328,-1.9429,1.4029,1.2103,30
22616,regular,croston_sba,114.0201,196.1538,-9.6649,1.2367,1.0669,30
22616,regular,lightgbm,125.257,201.1591,11.8223,1.3585,1.1721,30
22386,regular,naive_last,79.3667,132.322,8.1,1.6208,1.1108,30
22386,regular,seasonal_naive_7,64.2667,113.9804,12.4,1.3125,0.8994,30
22386,regular,moving_avg_7,59.3952,87.2129,10.9095,1.213,0.8313,30
22386,regular,croston_sba,58.0513,85.0898,12.1605,1.1855,0.8125,30
22386,regular,lightgbm,61.8442,84.1102,27.0122,1.263,0.8655,30
21232,regular,naive_last,90.5333,156.3581,-0.4667,1.4866,1.6526,30
21232,regular,seasonal_naive_7,78.3,160.8655,-3.1,1.2857,1.4293,30
21232,regular,moving_avg_7,69.9333,120.7884,-3.5905,1.1483,1.2766,30
21232,regular,croston_sba,58.3321,114.2733,-13.0867,0.9578,1.0648,30
21232,regular,lightgbm,70.4606,117.6231,13.4452,1.157,1.2862,30
84568,intermittent,naive_last,68.6,129.3234,-0.8667,1.7294,0.7471,30
84568,intermittent,seasonal_naive_7,68.9667,132.2466,-3.1,1.7387,0.7511,30
84568,intermittent,moving_avg_7,56.5381,93.3588,-2.6333,1.4253,0.6157,30
84568,intermittent,croston_sba,44.2888,90.0948,-15.3004,1.1165,0.4823,30
84568,intermittent,lightgbm,71.5808,111.5946,21.5178,1.8046,0.7796,30
